Year	Lat	Lon	Depth	Mag
1976.780137	35.97	-89.81	18	1.6
1976.782877	36.54	-89.66	5	1.5
1976.791096	36.57	-89.63	5	1.6
1976.813014	36.29	-89.52	5	1.4
1976.818493	35.62	-90.45	5	3.6
1976.832192	36.2	-91.4	15	2.2
1976.836073	36.55	-89.67	12	1.8
1976.841553	36.56	-89.72	9	1.7
1976.844292	35.84	-90.14	5	1.9
1976.860731	36.55	-89.71	5	1.6
1976.874429	35.93	-90.03	5	1.5
1976.882648	38.32	-90.28	5	1.8
1976.885388	37.08	-88.77	5	1.6
1976.885388	36.95	-88.95	5	0.8
1976.893607	36.43	-89.51	5	1.7
1976.893607	36.43	-89.49	5	1.6
1976.904566	36.46	-89.58	5	1.4
1976.910046	35.89	-89.99	5	1.5
1976.912785	36.43	-89.49	5	1.5
1976.912785	36.42	-89.52	5	1.4
1976.915525	36.5	-89.76	5	1.4
1976.918265	36.3	-89.46	5	1.6
1976.930365	36.44	-89.48	5	1.4
1976.933105	37.28	-89.47	5	1.9
1976.935845	36.79	-89.15	5	1.6
1976.938584	36.76	-89.16	5	1.3
1976.955023	36.28	-89.45	5	1.5
1976.955023	35.66	-90.46	5	2.4
1976.955023	36.57	-89.58	5	1.2
1976.957763	35.61	-89.9	5	1.8
1976.960502	38.23	-89.69	5	2.1
1976.960502	38.22	-89.69	5	2.1
1976.968721	36.45	-89.52	5	2.1
1976.971461	36.12	-89.35	5	1.4
1976.97968	36.55	-89.62	5	1.6
1976.97968	36.26	-89.45	5	1.8
1976.97968	36.28	-89.51	5	1.5
1976.996119	36.04	-90.05	5	1.6
1977.016438	35.82	-90.15	5	1.6
1977.032877	36.22	-89.46	5	1.4
1977.035616	37.8	-90.24	5	3.5
1977.041096	36.07	-89.8	5	2.1
1977.086073	36.92	-90.42	5	1.7
1977.088813	36.45	-89.57	9	1.7
1977.088813	36.47	-89.55	5	1.8
1977.091553	37.55	-89.79	5	3.4
1977.091553	37.56	-89.86	5	1.6
1977.091553	36.99	-90.3	5	1.8
1977.094292	37.56	-89.76	5	1.8
1977.094292	37.56	-89.75	5	2.6
1977.094292	36.54	-89.66	5	1.7
1977.094292	37.56	-89.76	5	1.8
1977.094292	36.12	-89.73	5	1.6
1977.097032	37.57	-89.76	10	2
1977.097032	35.91	-90.13	5	1.8
1977.110731	35.96	-89.95	5	1.8
1977.11347	36.42	-89.51	5	1.7
1977.121689	36.99	-89.13	5	2
1977.146347	37.55	-89.78	5	2.3
1977.162785	36.11	-89.77	5	1.4
1977.162785	36.53	-89.58	1	2.3
1977.169406	36.39	-89.57	5	1.5
1977.169406	36.28	-89.47	5	1.6
1977.172146	36.22	-89.64	5	2
1977.174886	35.82	-90.3	5	1.6
1977.188584	36.5	-89.57	5	1.9
1977.191324	35.86	-90.09	5	1.6
1977.196804	35.5	-90.48	5	1.9
1977.196804	35.76	-90.26	5	1.6
1977.202283	36.23	-89.49	5	1.6
1977.205023	36.21	-89.45	10	1.6
1977.205023	36.1	-89.77	5	1.7
1977.210502	36.28	-89.54	5	2
1977.213242	36.15	-89.51	5	2.2
1977.243379	39.17	-88.4	5	2.9
1977.288356	36.54	-89.65	5	1.6
1977.288356	36.54	-89.65	5	1.6
1977.304795	36.51	-89.56	5	2.8
1977.326712	36.48	-89.54	10	2.9
1977.355251	36.28	-89.45	7.6	1.6
1977.357991	35.9	-89.98	5	1.6
1977.36621	35.79	-90.29	5	1.8
1977.36621	36.58	-89.62	7.3	1.6
1977.371689	36.41	-89.63	8.6	1.9
1977.374429	36.35	-89.5	5.5	1.6
1977.374429	36.3	-89.47	1.5	1.5
1977.374429	37.22	-89.81	10	2.5
1977.377169	37.36	-90.69	13.6	1.9
1977.393607	36.04	-89.86	10.9	1.5
1977.401826	37.79	-90.29	10	1.6
1977.404566	35.8	-90.16	10	2.3
1977.415525	36.2	-89.62	5	1.5
1977.422146	36.4	-89.5	5	1.5
1977.444064	36.51	-89.55	5	1.4
1977.444064	36.53	-89.57	5	1.4
1977.452283	35.98	-91.2	5	2.2
1977.460502	35.67	-89.77	8.2	1.4
1977.496119	34.44	-87.74	5	2.6
1977.501598	36.56	-89.81	11.4	2.1
1977.505479	34.61	-94.19	10	3.9
1977.510959	36.3	-89.54	5	1.6
1977.510959	36.24	-89.59	0.6	2
1977.516438	36.91	-89.12	5	1.5
1977.516438	35.99	-89.87	0.7	1.6
1977.530137	36.53	-89.64	9.6	1.6
1977.535616	36.28	-89.49	10	1.8
1977.541096	36.32	-89.56	0.5	1.8
1977.541096	37.66	-88.31	10	1.8
1977.541096	36.08	-89.59	5	1.8
1977.541096	36.6	-89.41	1.9	1.5
1977.546575	36.87	-89.43	10.8	1.6
1977.554795	36.29	-89.5	8.9	1.5
1977.563014	36.54	-89.55	1.8	1.6
1977.563014	35.76	-90.21	10	2.1
1977.579452	36.67	-91.03	5	2.3
1977.582192	36.55	-89.6	2.9	1.9
1977.588813	36.26	-89.5	5	1.4
1977.591553	36.49	-89.57	5	1.7
1977.597032	36.44	-89.55	5	1.6
1977.599772	36.51	-89.54	5	1.8
1977.61347	36.58	-89.42	5	1.7
1977.61347	39.71	-89.38	9	2.2
1977.624429	36.23	-89.35	5	1.6
1977.629909	36.24	-89.38	1.7	1.8
1977.643607	36.35	-89.48	5	1.7
1977.677626	36.55	-89.6	5	2
1977.683105	36.55	-89.69	5	1.3
1977.683105	36.07	-91.13	5	2.3
1977.691324	36.38	-89.51	5	1.4
1977.699543	36.34	-89.51	8.3	1.6
1977.702283	36.29	-89.52	5	1.6
1977.705023	38.42	-89.67	5	1.7
1977.710502	36.2	-89.66	5	1.6
1977.713242	36.45	-89.75	5	1.4
1977.715982	35.71	-89.71	5	1.6
1977.715982	36.12	-89.74	5	2.2
1977.72968	36.09	-89.19	10	1.9
1977.766438	36.13	-89.77	5	1.6
1977.777397	36.56	-89.64	7.8	1.8
1977.782877	36.56	-89.65	4.9	1.6
1977.782877	36.53	-89.56	5	1.8
1977.804795	35.68	-91.5	10	2.3
1977.813014	36.06	-89.88	5	2.3
1977.821233	36.46	-89.62	10.5	2.1
1977.826712	36.63	-90.65	10	2.2
1977.826712	36.71	-89.53	5	1.8
1977.836073	36.23	-89.43	7	2.1
1977.844292	36.24	-89.35	5	3
1977.844292	36.25	-89.38	1.3	1.6
1977.860731	36.18	-89.62	5	1.6
1977.86895	36.06	-89.81	10	2.2
1977.86895	36.67	-89.55	5	1.5
1977.885388	36.59	-89.64	5	1.5
1977.901826	36.45	-89.47	5	2.3
1977.927626	34.01	-89.22	2	3.4
1977.930365	36.08	-89.8	10.8	2.3
1977.941324	36.61	-89.59	10.3	2.8
1977.941324	35.96	-89.89	5	2.4
1977.949543	36.27	-89.45	10	2.1
1977.971461	36.74	-90.83	5	2.4
1977.976941	36.48	-89.58	9.1	2.1
1977.9879	34.35	-92.8	5	3.1
1977.996119	36.84	-89.43	9.8	1.6
1978.008219	37.23	-90.32	10	1.5
1978.019178	36.7	-89.27	10	1.8
1978.019178	36.54	-89.57	5	1.6
1978.024658	36.45	-89.53	5	2.1
1978.032877	35.99	-89.9	5	1.8
1978.063014	36.55	-89.64	5	1.6
1978.065753	36.17	-89.66	10	2.3
1978.068493	36.32	-89.52	2.9	1.9
1978.076712	36.49	-89.61	10	1.5
1978.084932	36.05	-89.84	7.8	1.8
1978.088813	36.25	-89.56	5	2.1
1978.094292	36.09	-89.29	5	1.8
1978.102511	36.53	-89.57	10.3	1.7
1978.11347	36.54	-89.6	8.3	1.6
1978.11347	36.55	-89.61	5.5	1.6
1978.11347	36.21	-89.48	5	2.1
1978.11347	36.53	-89.66	15.4	2.2
1978.121689	36.19	-89.65	9.6	1.9
1978.132648	36.25	-89.42	5	2.6
1978.138128	36.54	-89.61	5	2.1
1978.143607	37.22	-88.3	5	1.9
1978.151826	35.98	-89.99	5	1.6
1978.160046	36.41	-89.48	1.8	2
1978.160046	38.24	-88.01	5	2.7
1978.174886	36.13	-89.7	11.2	1.8
1978.180365	36.49	-89.55	5	1.4
1978.180365	36.56	-89.56	5	1.8
1978.207763	35.71	-88.07	5	2.2
1978.210502	39.8	-88.23	5	2.7
1978.215982	36.29	-89.52	5	1.6
